interval,signalconsensus,fcc,resetmiddle,allowmidsells,matype,rsil,rsib,rsis,bbl,devup,devdn,macdfast,macdslow,macdsign,roi
15,False,False,False,False,0,3,2.0,40.0,21,1.2,2.0,30,60,2
5,True,False,True,False,0,4,28.0,77.0,8,2.3,2.9,12,26,9
5,True,False,False,False,6,41,55.0,71.0,15,1.0,1.0,9,41,31
2,False,False,False,False,2,11,28.0,51.0,15,1.5,1.0,2,40,2
5,True,False,False,False,6,8,16.0,76.0,77,1.86,1.94,30,25,21
5,False,False,False,False,0,11,23.0,66.0,61,1.1,1.6,3,91,2
5,False,False,False,False,5,6,18.0,57.0,9,2.0,1.6,15,23,9
5,False,False,False,False,6,36,45.0,58.0,24,3.2,1.99,33,28,23
10,False,False,False,False,5,6,50.0,61.0,56,1.3,0.3,50,100,8
10,True,False,False,False,7,5,51.0,75.0,12,0.9,1.1,20,120,2
5,True,False,False,False,0,9,40.0,81.0,7,1.0,1.0,4,19,2
1,False,False,True,False,0,18,100.0,51.0,15,2.0,2.0,7,23,18
5,False,False,False,False,4,2,41.0,79.0,12,1.0,1.0,2,120,12
5,False,False,False,False,7,15,24.0,81.0,69,1.0,1.0,20,120,2
5,False,False,False,False,1,12,44.0,55.0,9,1.9,2.1,12,24,2
15,False,False,False,False,0,25,56.1,72.0,12,2.0,2.0,5,27,31
1,False,False,False,True,7,4,21.0,81.0,42,1.0,2.0,20,120,2
5,True,False,False,False,0,21,41.0,61.0,18,1.7,1.0,20,120,2
5,False,False,False,False,5,6,18.0,57.0,9,1.0,1.6,16,23,12
5,False,False,False,False,7,50,43.0,54.0,21,0.3,0.3,82,192,2
5,False,True,True,True,4,6,29.0,83.0,21,1.5,0.909,12,24,9
90,False,False,False,False,3,46,46.0,69.0,71,1.0,1.0,12,61,10
5,False,False,False,False,7,7,28.0,82.0,31,1.0,1.0,12,41,8
5,True,False,False,False,1,12,55.0,71.0,8,2.0,1.0,5,41,31
5,True,False,False,False,1,48,35.234,58.942,60,2.0,2.0,30,100,18
5,False,False,True,False,7,5,28.0,76.0,9,2.0,1.1,13,42,12
15,False,False,False,False,3,14,64.0,70.0,51,1.5,0.8,22,26,2
5,True,False,True,False,2,18,28.0,83.0,72,0.51,1.15,20,200,15
1,False,False,True,False,2,42,38.0,50.0,20,1.59,0.77,54,56,10
1,False,False,False,False,5,3,51.0,91.0,8,2.0,1.8,20,120,2
